pixel,wavelength_nm
1,892.434028076387
2,896.158732140671
3,899.879661510563
4,903.596840337114
5,907.310291913006
6,911.020038680838
7,914.726102241419
8,918.428503362059
9,922.127261984857
10,925.822397234994
11,929.513927429019
12,933.201870083143
13,936.886241921529
14,940.56705888458
15,944.244336137231
16,947.918088077237
17,951.588328343469
18,955.255069824194
19,958.918324665378
20,962.578104278965
21,966.234419351173
22,969.887279850784
23,973.536695037432
24,977.182673469895
25,980.825223014385
26,984.464350852837
27,988.100063491201
28,991.732366767732
29,995.361265861278
30,998.986765299573
31,1002.60886896753
32,1006.22758011551
33,1009.84290136766
34,1013.45483473014
35,1017.06338159947
36,1020.66854277079
37,1024.27031844614
38,1027.8687082428
39,1031.46371120151
40,1035.05532579483
41,1038.64354993537
42,1042.22838098412
43,1045.80981575874
44,1049.38785054181
45,1052.96248108917
46,1056.53370263818
47,1060.10150991603
48,1063.66589714799
49,1067.22685806577
50,1070.78438591574
51,1074.33847346726
52,1077.88911302094
53,1081.436296417
54,1084.98001504345
55,1088.52025984448
56,1092.0570213287
57,1095.59028957743
58,1099.12005425303
59,1102.64630460712
60,1106.16902948896
61,1109.68821735365
62,1113.20385627047
63,1116.71593393119
64,1120.22443765831
65,1123.72935441336
66,1127.23067080524
67,1130.72837309843
68,1134.22244722137
69,1137.71287877466
70,1141.19965303943
71,1144.68275498556
72,1148.16216928003
73,1151.63788029517
74,1155.10987211699
75,1158.5781285534
76,1162.04263314259
77,1165.50336916126
78,1168.96031963291
79,1172.41346733616
80,1175.86279481302
81,1179.30828437721
82,1182.74991812239
83,1186.18767793052
84,1189.62154548008
85,1193.05150225444
86,1196.47752955008
87,1199.89960848491
88,1203.31772000657
89,1206.73184490069
90,1210.14196379922
91,1213.54805718867
92,1216.95010541847
93,1220.34808870918
94,1223.74198716084
95,1227.13178076123
96,1230.51744939419
97,1233.89897284785
98,1237.276330823
99,1240.64950294132
100,1244.0184687537
101,1247.38320774851
102,1250.74369935992
103,1254.09992297615
104,1257.45185794778
105,1260.79948359608
106,1264.14277922121
107,1267.4817241106
108,1270.81629754718
109,1274.14647881772
110,1277.47224722105
111,1280.79358207644
112,1284.11046273181
113,1287.42286857207
114,1290.73077902738
115,1294.03417358148
116,1297.33303177993
117,1300.62733323843
118,1303.91705765111
119,1307.2021847988
120,1310.48269455737
121,1313.75856690595
122,1317.02978193526
123,1320.29631985592
124,1323.55816100669
125,1326.81528586281
126,1330.06767504423
127,1333.31530932398
128,1336.55816963639
129,1339.79623708542
130,1343.02949295293
131,1346.25791870697
132,1349.4814960101
133,1352.70020672764
134,1355.91403293599
135,1359.12295693089
136,1362.32696123576
137,1365.52602860993
138,1368.72014205696
139,1371.90928483296
140,1375.09344045482
141,1378.27259270854
142,1381.4467256575
143,1384.61582365079
144,1387.77987133144
145,1390.93885364474
146,1394.09275584657
147,1397.2415635116
148,1400.38526254166
149,1403.52383917401
150,1406.6572799896
151,1409.78557192139
152,1412.90870226263
153,1416.02665867517
154,1419.13942919772
155,1422.24700225414
156,1425.34936666176
157,1428.44651163966
158,1431.53842681693
159,1434.62510224101
160,1437.70652838593
161,1440.78269616065
162,1443.8535969173
163,1446.91922245951
164,1449.97956505069
165,1453.03461742229
166,1456.08437278215
167,1459.12882482273
168,1462.16796772943
169,1465.20179618889
170,1468.23030539725
171,1471.25349106847
172,1474.2713494426
173,1477.28387729408
174,1480.29107194002
175,1483.29293124851
176,1486.28945364689
177,1489.28063813004
178,1492.26648426871
179,1495.24699221773
180,1498.2221627244
181,1501.19199713668
182,1504.15649741158
183,1507.11566612335
184,1510.06950647186
185,1513.01802229082
186,1515.96121805613
187,1518.8990988941
188,1521.83167058982
189,1524.7589395954
190,1527.68091303825
191,1530.59759872942
192,1533.50900517184
193,1536.41514156864
194,1539.31601783145
195,1542.21164458864
196,1545.10203319365
197,1547.9871957333
198,1550.86714503602
199,1553.74189468018
200,1556.6114590024
201,1559.47585310578
202,1562.33509286823
203,1565.18919495077
204,1568.0381768058
205,1570.88205668538
206,1573.72085364955
207,1576.55458757459
208,1579.38327916134
209,1582.20694994347
210,1585.02562229578
211,1587.83931944248
212,1590.64806546548
213,1593.45188531269
214,1596.25080480633
215,1599.04485065116
216,1601.83405044282
217,1604.61843267612
218,1607.39802675331
219,1610.17286299238
220,1612.94297263533
221,1615.7083878565
222,1618.46914177082
223,1621.22526844215
224,1623.9768028915
225,1626.72378110538
226,1629.46624004407
227,1632.20421764991
228,1634.93775285557
229,1637.66688559238
230,1640.3916567986
231,1643.11210842771
232,1645.82828345668
233,1648.54022589432
234,1651.24798078948
235,1653.95159423944
236,1656.65111339812
237,1659.34658648442
238,1662.03806279048
239,1664.72559268999
240,1667.40922764646
241,1670.08902022155
242,1672.76502408329
243,1675.43729401445
244,1678.10588592079
245,1680.77085683932
246,1683.43226494667
247,1686.09016956731
248,1688.74463118186
249,1691.39571143539
250,1694.0434731457
251,1696.68798031164
252,1699.32929812133
253,1701.96749296055
254,1704.60263242092
255,1707.23478530828
256,1709.86402165095
